Date,Symbol,Close,High,Low,Open,Volume,day_of_week,is_weekend,days_since_last_trade
2020-08-30,GOOGL,81.4828186,,,,,6,True,2
2020-09-06,GOOGL,78.58917999,,,,,6,True,2
2020-09-13,GOOGL,75.33618927,,,,,6,True,2
2020-09-20,GOOGL,72.12195587,,,,,6,True,2
2020-09-27,GOOGL,71.52405548,,,,,6,True,2
2020-10-04,GOOGL,72.34611511,,,,,6,True,2
2020-10-11,GOOGL,75.07227325,,,,,6,True,2
2020-10-18,GOOGL,77.91770172,,,,,6,True,2
2020-10-25,GOOGL,81.16225433,,,,,6,True,2
2020-11-01,GOOGL,80.32376862,,,,,6,True,2
2020-11-08,GOOGL,87.4619751,,,,,6,True,2
2020-11-15,GOOGL,88.08472443,,,,,6,True,2
2020-11-22,GOOGL,86.30142212,,,,,6,True,2
2020-11-29,GOOGL,88.81832886,,,,,6,True,2
2020-12-06,GOOGL,90.64439392,,,,,6,True,2
2020-12-13,GOOGL,88.21096802,,,,,6,True,2
2020-12-20,GOOGL,85.79645538,,,,,6,True,2
2020-12-26,GOOGL,86.19107819,,,,,5,True,2
2020-12-27,GOOGL,86.19107819,,,,,6,True,3
2021-01-02,GOOGL,87.10958099,,,,,5,True,2
2021-01-03,GOOGL,87.10958099,,,,,6,True,3
2021-01-10,GOOGL,89.35560608,,,,,6,True,2
2021-01-17,GOOGL,85.86602783,,,,,6,True,2
2021-01-24,GOOGL,94.06386566,,,,,6,True,2
2021-01-31,GOOGL,90.82329559,,,,,6,True,2
2021-02-07,GOOGL,103.8188629,,,,,6,True,2
2021-02-14,GOOGL,104.1270142,,,,,6,True,2
2021-02-21,GOOGL,103.8178711,,,,,6,True,2
2021-02-28,GOOGL,100.4928055,,,,,6,True,2
2021-03-07,GOOGL,104.2284012,,,,,6,True,2
2021-03-14,GOOGL,101.8889389,,,,,6,True,2
2021-03-21,GOOGL,100.7438049,,,,,6,True,2
2021-03-28,GOOGL,100.6329651,,,,,6,True,2
2021-04-03,GOOGL,105.8541565,,,,,5,True,2
2021-04-04,GOOGL,105.8541565,,,,,6,True,3
2021-04-11,GOOGL,112.8566589,,,,,6,True,2
2021-04-18,GOOGL,113.4570541,,,,,6,True,2
2021-04-25,GOOGL,114.3109436,,,,,6,True,2
2021-05-02,GOOGL,116.9734726,,,,,6,True,2
2021-05-09,GOOGL,116.8954391,,,,,6,True,2
2021-05-16,GOOGL,113.2398529,,,,,6,True,2
2021-05-23,GOOGL,114.0226669,,,,,6,True,2
2021-05-30,GOOGL,117.1399689,,,,,6,True,2
2021-06-06,GOOGL,118.9650269,,,,,6,True,2
2021-06-13,GOOGL,120.785614,,,,,6,True,2
2021-06-20,GOOGL,119.3949509,,,,,6,True,2
2021-06-27,GOOGL,121.7781601,,,,,6,True,2
2021-07-04,GOOGL,124.5107651,,,,,6,True,2
2021-07-11,GOOGL,124.7702026,,,,,6,True,2
2021-07-18,GOOGL,126.2130508,,,,,6,True,2
